ticker,company_name,sector,industry,lifecycle_stage,notes
MSFT,Microsoft Corporation,Technology,Software - Infrastructure,,
AAPL,Apple Inc.,Technology,Consumer Electronics,,
GOOGL,Alphabet Inc.,Technology,Internet Content & Information,,
AMZN,Amazon.com Inc.,Technology,Internet Retail,,
TSLA,Tesla Inc.,Consumer Cyclical,Auto Manufacturers,,
NVDA,NVIDIA Corporation,Technology,Semiconductors,,
META,Meta Platforms Inc.,Technology,Internet Content & Information,,
CNC,Centene Corporation,Healthcare,Healthcare Plans,,
AMD,Advanced Micro Devices Inc.,Semiconductors,Semiconductors,,
ASML,ASML Holding N.V.,Technology,Semiconductors,,20-F EUR filer
TSM,Taiwan Semiconductor Manufacturing Co.,Technology,Semiconductors,growth_compounder,20-F TWD IFRS filer - 2022 peak distorts 3Y CAGR
UNH,UnitedHealth Group Inc.,Healthcare,Healthcare Plans,,Managed care - medical loss ratio accounting
LLY,Eli Lilly and Company,Healthcare,Drug Manufacturers,,GLP-1 thesis - intangible-heavy invested capital
ABT,Abbott Laboratories,Healthcare,Medical Devices,,Diversified healthcare - device + diagnostics
V,Visa Inc.,Financials,Credit Services,,Payment network - not a bank
COST,Costco Wholesale Corporation,Consumer Defensive,Discount Stores,mature,Membership float model
WMT,Walmart Inc.,Consumer Defensive,Discount Stores,mature,Retail scale compounder
NEE,NextEra Energy Inc.,Utilities,Utilities - Regulated Electric,mature,Regulated utility + renewables
CAT,Caterpillar Inc.,Industrials,Farm & Heavy Construction Machinery,mature,Industrial cyclical - peak detection test
JPM,JPMorgan Chase & Co.,Financials,Banks - Diversified,,Bank - use ROE not ROIC - P/Book valuation
BRK-B,Berkshire Hathaway Inc.,Financials,Insurance - Diversified,,Insurance/conglomerate - float yield + combined ratio
SMCI,Super Micro Computer Inc.,Technology,Computer Hardware,,AI server infrastructure - volatile financials
QCOM,Qualcomm Inc.,Technology,Semiconductors,,Semiconductor + licensing model
ORCL,Oracle Corporation,Technology,Software - Infrastructure,mature,Enterprise software - mature compounder strong FCF
TXN,Texas Instruments Inc.,Technology,Semiconductors,mature,Analog semiconductor - mature capital return model
